Department Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Budget Request Description,Budget Request Category,Budget Object Code,Audit Budget Object Name,One Time/ On-going,2021-22 (Proposed) Incremental change from 2020-21 Adopted Budget,2021-22 (Adopted) Incremental change from 2020-21 Adopted Budget
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-5566,-5566
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,572,572
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-250373,-250373
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,111597,111597
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,LGBTQ Mini Multipurpose Center,3-Continuation of Services,003040,Contractual Services,BB,450000,450000
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Mobile Worker Program,9-Transfer of Services,006010,Office and Administrative ,BB,9310,9310
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Purposeful Aging LA,3-Continuation of Services,001010,Salaries General,01,222134,222134
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-34360,-34360
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-38205,-38205
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-147070,-147070
02,Aging,0201,Senior Services,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,88913,102213
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-3195,-3195
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,314,314
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,50792,50792
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-26246,-26246
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,01,,41108
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-36976,-36976
02,Aging,0201,Senior Services,100,General Fund,385,Proposition A Local Transit Assistance Fund (Sch. 26),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,45773,45773
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-14171,-14171
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,1344,1344
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,219803,219803
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-69214,-69214
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,01,,136730
